INCIDENT_ID,INCIDENT_TYPE_E,INCIDENT_TYPE_F,RECEIPT_DT,SOURCE_OF_RECALL_E,SOURCE_OF_RECALL_F,HAZARD_SEVERITY_CODE_E,HAZARD_SEVERITY_CODE_F,INC_AWARE_DT,MANDATORY_RPT,INCIDENT_DT
1113348,Mandatory problem report,Déclaration d'incident obligatoire,2024-09-03,Canada,Canada,POTENTIAL FOR DEATH/INJURY,POTENTIEL DE MORT / DE BLESSURES,2024-08-27,10.0,2024-08-20
1113354,Mandatory problem report,Déclaration d'incident obligatoire,2024-09-04,Canada,Canada,INJURY,BLESSURE,2024-08-27,10.0,2024-08-12
1113364,Mandatory problem report,Déclaration d'incident obligatoire,2024-09-04,Canada,Canada,INJURY,BLESSURE,2024-08-30,10.0,2023-01-01
1113373,Mandatory problem report linked to a recall,Déclaration d'incident obligatoire lié à un rappel,2024-09-02,Canada,Canada,POTENTIAL FOR DEATH/INJURY,POTENTIEL DE MORT / DE BLESSURES,2024-08-07,30.0,
1113389,Mandatory problem report,Déclaration d'incident obligatoire,2024-11-29,Canada,Canada,POTENTIAL FOR DEATH/INJURY,POTENTIEL DE MORT / DE BLESSURES,2024-07-22,30.0,2024-07-22
1113391,Mandatory problem report,Déclaration d'incident obligatoire,2024-09-04,Canada,Canada,POTENTIAL FOR DEATH/INJURY,POTENTIEL DE MORT / DE BLESSURES,2024-08-04,30.0,2024-06-02
1113401,Mandatory problem report,Déclaration d'incident obligatoire,2024-09-04,Canada,Canada,INJURY,BLESSURE,2024-08-30,10.0,2024-08-12
1113409,Mandatory problem report,Déclaration d'incident obligatoire,2024-09-04,Canada,Canada,POTENTIAL FOR DEATH/INJURY,POTENTIEL DE MORT / DE BLESSURES,2024-08-30,10.0,2024-08-30
1113415,Mandatory problem report,Déclaration d'incident obligatoire,2024-09-04,Canada,Canada,INJURY,BLESSURE,2024-08-30,10.0,2024-08-30
1113421,Mandatory problem report,Déclaration d'incident obligatoire,2024-09-04,Canada,Canada,INJURY,BLESSURE,2024-08-26,10.0,2024-08-16
1113479,Mandatory problem report,Déclaration d'incident obligatoire,2024-09-04,Canada,Canada,INJURY,BLESSURE,2024-08-28,10.0,
1113483,Mandatory problem report,Déclaration d'incident obligatoire,2024-09-04,Canada,Canada,INJURY,BLESSURE,2024-08-28,10.0,2024-08-27
1113495,Mandatory problem report,Déclaration d'incident obligatoire,2024-09-04,Canada,Canada,INJURY,BLESSURE,2024-08-28,10.0,2022-01-01
1113502,Mandatory problem report,Déclaration d'incident obligatoire,2024-09-04,Canada,Canada,INJURY,BLESSURE,2024-08-29,10.0,2024-07-11
1113518,Mandatory problem report,Déclaration d'incident obligatoire,2024-09-04,Canada,Canada,DEATH,MORT,2024-08-26,10.0,2024-08-26
1113531,Mandatory problem report,Déclaration d'incident obligatoire,2024-09-04,Canada,Canada,POTENTIAL FOR DEATH/INJURY,POTENTIEL DE MORT / DE BLESSURES,2024-08-26,10.0,2024-08-17
1113533,Mandatory problem report,Déclaration d'incident obligatoire,2024-09-04,Canada,Canada,POTENTIAL FOR DEATH/INJURY,POTENTIEL DE MORT / DE BLESSURES,2024-08-26,10.0,2024-08-22
1113538,Mandatory problem report,Déclaration d'incident obligatoire,2024-09-05,Canada,Canada,POTENTIAL FOR DEATH/INJURY,POTENTIEL DE MORT / DE BLESSURES,2024-08-06,30.0,
1113543,Mandatory problem report,Déclaration d'incident obligatoire,2024-09-04,Canada,Canada,POTENTIAL FOR DEATH/INJURY,POTENTIEL DE MORT / DE BLESSURES,2024-08-27,10.0,2024-08-26
1113548,Mandatory problem report,Déclaration d'incident obligatoire,2024-09-06,Canada,Canada,POTENTIAL FOR DEATH/INJURY,POTENTIEL DE MORT / DE BLESSURES,2024-08-09,30.0,2024-08-08
1113549,Mandatory problem report,Déclaration d'incident obligatoire,2024-09-04,Canada,Canada,POTENTIAL FOR DEATH/INJURY,POTENTIEL DE MORT / DE BLESSURES,2024-08-29,10.0,2024-05-29
1113551,Mandatory problem report,Déclaration d'incident obligatoire,2024-09-04,Canada,Canada,POTENTIAL FOR DEATH/INJURY,POTENTIEL DE MORT / DE BLESSURES,2024-08-27,10.0,2024-08-27
1113553,Mandatory problem report,Déclaration d'incident obligatoire,2024-09-04,Canada,Canada,POTENTIAL FOR DEATH/INJURY,POTENTIEL DE MORT / DE BLESSURES,2024-08-29,10.0,2024-08-28
1113558,Mandatory problem report,Déclaration d'incident obligatoire,2024-09-04,Canada,Canada,INJURY,BLESSURE,2024-08-27,10.0,2024-06-17
1113561,Voluntary problem report,Déclaration d'incident volontaire,2024-09-04,Canada,Canada,MINIMAL/NO ADVERSE HEALTH CONSEQUENCES,CONSEQUENCES MINIMALES / SANS EFFETS NEFASTES SUR LA SANTE,2024-08-25,,2024-08-25
1113563,Mandatory problem report,Déclaration d'incident obligatoire,2024-09-06,Canada,Canada,INJURY,BLESSURE,2024-08-14,30.0,2024-08-14
1113570,Mandatory problem report,Déclaration d'incident obligatoire,2024-09-04,Canada,Canada,INJURY,BLESSURE,2024-08-08,10.0,2024-08-08
1113579,Mandatory problem report,Déclaration d'incident obligatoire,2024-09-04,Canada,Canada,INJURY,BLESSURE,2024-08-28,10.0,2024-08-27
1113582,Mandatory problem report,Déclaration d'incident obligatoire,2024-09-06,Canada,Canada,POTENTIAL FOR DEATH/INJURY,POTENTIEL DE MORT / DE BLESSURES,2024-08-29,30.0,2024-08-29
1113588,Mandatory problem report,Déclaration d'incident obligatoire,2024-09-04,Canada,Canada,POTENTIAL FOR DEATH/INJURY,POTENTIEL DE MORT / DE BLESSURES,2024-08-19,30.0,2024-08-17
1113589,Mandatory problem report,Déclaration d'incident obligatoire,2024-09-04,Canada,Canada,INJURY,BLESSURE,2024-08-28,10.0,2024-08-26
1113594,Mandatory problem report,Déclaration d'incident obligatoire,2024-09-06,Canada,Canada,POTENTIAL FOR DEATH/INJURY,POTENTIEL DE MORT / DE BLESSURES,2024-08-20,30.0,2024-08-20
1113596,Mandatory problem report,Déclaration d'incident obligatoire,2024-09-04,Canada,Canada,POTENTIAL FOR DEATH/INJURY,POTENTIEL DE MORT / DE BLESSURES,2024-08-28,10.0,2024-08-28
1113605,Mandatory problem report,Déclaration d'incident obligatoire,2024-09-04,Canada,Canada,INJURY,BLESSURE,2024-08-28,10.0,2024-08-28
1113607,Voluntary problem report,Déclaration d'incident volontaire,2024-09-06,Canada,Canada,MINIMAL/NO ADVERSE HEALTH CONSEQUENCES,CONSEQUENCES MINIMALES / SANS EFFETS NEFASTES SUR LA SANTE,2024-09-06,,2024-09-06
1113608,Mandatory problem report,Déclaration d'incident obligatoire,2024-09-04,Canada,Canada,POTENTIAL FOR DEATH/INJURY,POTENTIEL DE MORT / DE BLESSURES,2024-08-28,10.0,2024-08-28
1113610,Mandatory problem report,Déclaration d'incident obligatoire,2024-09-06,Canada,Canada,POTENTIAL FOR DEATH/INJURY,POTENTIEL DE MORT / DE BLESSURES,2024-08-05,30.0,2024-08-04
1113621,Voluntary problem report,Déclaration d'incident volontaire,2024-09-04,Canada,Canada,MINIMAL/NO ADVERSE HEALTH CONSEQUENCES,CONSEQUENCES MINIMALES / SANS EFFETS NEFASTES SUR LA SANTE,2024-08-25,,2024-08-25
1113628,Mandatory problem report,Déclaration d'incident obligatoire,2024-09-04,Canada,Canada,INJURY,BLESSURE,2024-08-27,10.0,2024-08-23
1113639,Voluntary problem report,Déclaration d'incident volontaire,2024-09-04,Canada,Canada,MINIMAL/NO ADVERSE HEALTH CONSEQUENCES,CONSEQUENCES MINIMALES / SANS EFFETS NEFASTES SUR LA SANTE,2024-08-24,,2024-08-24
1113641,Mandatory problem report,Déclaration d'incident obligatoire,2024-09-04,Canada,Canada,INJURY,BLESSURE,2024-08-30,10.0,2024-05-01
1113649,Mandatory problem report,Déclaration d'incident obligatoire,2024-09-04,Canada,Canada,POTENTIAL FOR DEATH/INJURY,POTENTIEL DE MORT / DE BLESSURES,2024-08-27,10.0,2024-08-20
1113653,Mandatory problem report,Déclaration d'incident obligatoire,2024-09-06,Canada,Canada,POTENTIAL FOR DEATH/INJURY,POTENTIEL DE MORT / DE BLESSURES,2024-08-26,30.0,2024-08-23
1113664,Voluntary problem report,Déclaration d'incident volontaire,2024-09-04,Canada,Canada,MINIMAL/NO ADVERSE HEALTH CONSEQUENCES,CONSEQUENCES MINIMALES / SANS EFFETS NEFASTES SUR LA SANTE,2024-08-28,,2024-08-28
1113668,Mandatory problem report,Déclaration d'incident obligatoire,2024-09-04,Canada,Canada,POTENTIAL FOR DEATH/INJURY,POTENTIEL DE MORT / DE BLESSURES,2024-08-27,10.0,2024-07-27
1113670,Mandatory problem report,Déclaration d'incident obligatoire,2024-09-04,Canada,Canada,POTENTIAL FOR DEATH/INJURY,POTENTIEL DE MORT / DE BLESSURES,2024-08-28,10.0,2024-08-28
1113674,Mandatory problem report,Déclaration d'incident obligatoire,2024-09-03,Canada,Canada,INJURY,BLESSURE,2024-08-26,10.0,2024-08-26
1113675,Mandatory problem report,Déclaration d'incident obligatoire,2024-09-04,Canada,Canada,POTENTIAL FOR DEATH/INJURY,POTENTIEL DE MORT / DE BLESSURES,2024-08-26,10.0,2024-08-25
1113676,Voluntary problem report,Déclaration d'incident volontaire,2024-09-04,Canada,Canada,MINIMAL/NO ADVERSE HEALTH CONSEQUENCES,CONSEQUENCES MINIMALES / SANS EFFETS NEFASTES SUR LA SANTE,2024-08-24,,2024-08-24
1113680,Voluntary problem report,Déclaration d'incident volontaire,2024-09-04,Canada,Canada,MINIMAL/NO ADVERSE HEALTH CONSEQUENCES,CONSEQUENCES MINIMALES / SANS EFFETS NEFASTES SUR LA SANTE,2024-08-28,,2024-08-28
1113682,Mandatory problem report,Déclaration d'incident obligatoire,2024-09-06,Canada,Canada,POTENTIAL FOR DEATH/INJURY,POTENTIEL DE MORT / DE BLESSURES,2024-08-24,30.0,2024-08-24
1113683,Voluntary problem report,Déclaration d'incident volontaire,2024-09-04,Canada,Canada,MINIMAL/NO ADVERSE HEALTH CONSEQUENCES,CONSEQUENCES MINIMALES / SANS EFFETS NEFASTES SUR LA SANTE,2024-08-28,,2024-08-28
1113686,Mandatory problem report,Déclaration d'incident obligatoire,2024-09-06,Canada,Canada,POTENTIAL FOR DEATH/INJURY,POTENTIEL DE MORT / DE BLESSURES,2024-09-05,30.0,2024-09-05
1113689,Mandatory problem report,Déclaration d'incident obligatoire,2024-09-04,Canada,Canada,POTENTIAL FOR DEATH/INJURY,POTENTIEL DE MORT / DE BLESSURES,2024-08-25,10.0,2024-08-25
1113697,Mandatory problem report,Déclaration d'incident obligatoire,2024-09-06,Canada,Canada,INJURY,BLESSURE,2024-08-17,30.0,2024-08-17
1113700,Mandatory problem report,Déclaration d'incident obligatoire,2024-09-08,Canada,Canada,INJURY,BLESSURE,2024-08-26,10.0,2024-08-23
1113712,Mandatory problem report,Déclaration d'incident obligatoire,2024-09-05,Canada,Canada,INJURY,BLESSURE,2024-08-06,30.0,2023-11-13
1113716,Voluntary problem report,Déclaration d'incident volontaire,2024-09-04,Canada,Canada,MINIMAL/NO ADVERSE HEALTH CONSEQUENCES,CONSEQUENCES MINIMALES / SANS EFFETS NEFASTES SUR LA SANTE,2024-08-28,,2024-08-27
1113718,Mandatory problem report,Déclaration d'incident obligatoire,2024-09-06,Canada,Canada,POTENTIAL FOR DEATH/INJURY,POTENTIEL DE MORT / DE BLESSURES,2024-08-20,30.0,2024-08-20
1113720,Mandatory problem report,Déclaration d'incident obligatoire,2024-09-05,Canada,Canada,INJURY,BLESSURE,2024-09-03,10.0,2024-07-31
1113723,Mandatory problem report,Déclaration d'incident obligatoire,2024-09-05,Canada,Canada,INJURY,BLESSURE,2024-08-07,30.0,2023-10-03
1113734,Mandatory problem report,Déclaration d'incident obligatoire,2024-09-04,Canada,Canada,POTENTIAL FOR DEATH/INJURY,POTENTIEL DE MORT / DE BLESSURES,2024-08-26,10.0,2024-08-16
1113737,Mandatory problem report,Déclaration d'incident obligatoire,2024-09-05,Canada,Canada,INJURY,BLESSURE,2024-08-27,10.0,2024-08-27
1113743,Voluntary problem report,Déclaration d'incident volontaire,2024-09-04,Canada,Canada,MINIMAL/NO ADVERSE HEALTH CONSEQUENCES,CONSEQUENCES MINIMALES / SANS EFFETS NEFASTES SUR LA SANTE,2024-08-27,,2024-08-27
1113745,Mandatory problem report,Déclaration d'incident obligatoire,2024-09-05,Canada,Canada,INJURY,BLESSURE,2024-08-28,10.0,2024-08-28
1113746,Mandatory problem report,Déclaration d'incident obligatoire,2024-09-04,Canada,Canada,POTENTIAL FOR DEATH/INJURY,POTENTIEL DE MORT / DE BLESSURES,2024-08-29,10.0,2024-08-29
1113759,Voluntary problem report,Déclaration d'incident volontaire,2024-09-04,Canada,Canada,MINIMAL/NO ADVERSE HEALTH CONSEQUENCES,CONSEQUENCES MINIMALES / SANS EFFETS NEFASTES SUR LA SANTE,2024-08-28,,2024-08-26
1113760,Mandatory problem report,Déclaration d'incident obligatoire,2024-09-05,Canada,Canada,INJURY,BLESSURE,2024-09-03,10.0,2024-09-03
1113782,Voluntary problem report,Déclaration d'incident volontaire,2024-09-04,Canada,Canada,MINIMAL/NO ADVERSE HEALTH CONSEQUENCES,CONSEQUENCES MINIMALES / SANS EFFETS NEFASTES SUR LA SANTE,2024-08-29,,2024-08-29
1113783,Voluntary problem report,Déclaration d'incident volontaire,2024-09-04,Canada,Canada,MINIMAL/NO ADVERSE HEALTH CONSEQUENCES,CONSEQUENCES MINIMALES / SANS EFFETS NEFASTES SUR LA SANTE,2024-08-29,,2024-08-29
1113784,Voluntary problem report,Déclaration d'incident volontaire,2024-09-04,Canada,Canada,MINIMAL/NO ADVERSE HEALTH CONSEQUENCES,CONSEQUENCES MINIMALES / SANS EFFETS NEFASTES SUR LA SANTE,2024-08-22,,2024-08-22
1113785,Voluntary problem report,Déclaration d'incident volontaire,2024-09-04,Canada,Canada,MINIMAL/NO ADVERSE HEALTH CONSEQUENCES,CONSEQUENCES MINIMALES / SANS EFFETS NEFASTES SUR LA SANTE,2024-08-29,,2024-08-28
1113786,Mandatory problem report,Déclaration d'incident obligatoire,2024-09-06,Canada,Canada,POTENTIAL FOR DEATH/INJURY,POTENTIEL DE MORT / DE BLESSURES,2024-07-11,30.0,2024-07-11
1113792,Mandatory problem report,Déclaration d'incident obligatoire,2024-09-06,Canada,Canada,POTENTIAL FOR DEATH/INJURY,POTENTIEL DE MORT / DE BLESSURES,2024-06-18,30.0,2024-06-18
1113795,Mandatory problem report,Déclaration d'incident obligatoire,2024-09-06,Canada,Canada,INJURY,BLESSURE,2024-08-22,10.0,2024-08-21
1113796,Mandatory problem report,Déclaration d'incident obligatoire,2024-09-05,Canada,Canada,INJURY,BLESSURE,2024-08-28,,2024-08-28
1113804,Mandatory problem report,Déclaration d'incident obligatoire,2024-09-06,Canada,Canada,INJURY,BLESSURE,2024-08-28,10.0,2024-08-28
1113808,Mandatory problem report,Déclaration d'incident obligatoire,2024-09-09,Canada,Canada,POTENTIAL FOR DEATH/INJURY,POTENTIEL DE MORT / DE BLESSURES,,30.0,2024-09-05
1113816,Mandatory problem report,Déclaration d'incident obligatoire,2024-09-06,Canada,Canada,INJURY,BLESSURE,2024-08-14,10.0,2009-02-03
1113822,Voluntary problem report,Déclaration d'incident volontaire,2024-09-09,Canada,Canada,MINIMAL/NO ADVERSE HEALTH CONSEQUENCES,CONSEQUENCES MINIMALES / SANS EFFETS NEFASTES SUR LA SANTE,2024-09-06,,2024-09-06
1113825,Mandatory problem report,Déclaration d'incident obligatoire,2024-09-06,Canada,Canada,POTENTIAL FOR DEATH/INJURY,POTENTIEL DE MORT / DE BLESSURES,2024-08-09,30.0,2024-01-01
1113831,Mandatory problem report,Déclaration d'incident obligatoire,2024-09-09,Canada,Canada,POTENTIAL FOR DEATH/INJURY,POTENTIEL DE MORT / DE BLESSURES,2020-07-01,30.0,
1113835,Mandatory problem report,Déclaration d'incident obligatoire,2024-09-06,Canada,Canada,POTENTIAL FOR DEATH/INJURY,POTENTIEL DE MORT / DE BLESSURES,2024-08-08,30.0,2023-10-23
1113840,Voluntary problem report,Déclaration d'incident volontaire,2024-09-04,Canada,Canada,MINIMAL/NO ADVERSE HEALTH CONSEQUENCES,CONSEQUENCES MINIMALES / SANS EFFETS NEFASTES SUR LA SANTE,2024-08-27,,2024-08-23
1113841,Mandatory problem report,Déclaration d'incident obligatoire,2024-09-06,Canada,Canada,INJURY,BLESSURE,2024-08-14,10.0,2011-10-26
1113847,Mandatory problem report,Déclaration d'incident obligatoire,2024-09-06,Canada,Canada,INJURY,BLESSURE,2024-08-27,10.0,2024-08-24
1113851,Mandatory problem report,Déclaration d'incident obligatoire,2024-09-06,Canada,Canada,INJURY,BLESSURE,2024-08-29,10.0,2024-07-23
1113853,Mandatory problem report,Déclaration d'incident obligatoire,2024-09-06,Canada,Canada,POTENTIAL FOR DEATH/INJURY,POTENTIEL DE MORT / DE BLESSURES,2024-08-08,30.0,
1113863,Mandatory problem report,Déclaration d'incident obligatoire,2024-09-06,Canada,Canada,POTENTIAL FOR DEATH/INJURY,POTENTIEL DE MORT / DE BLESSURES,2024-08-09,30.0,2024-04-30
1113864,Mandatory problem report,Déclaration d'incident obligatoire,2024-09-06,Canada,Canada,POTENTIAL FOR DEATH/INJURY,POTENTIEL DE MORT / DE BLESSURES,2024-08-09,30.0,2024-04-01
1113885,Mandatory problem report,Déclaration d'incident obligatoire,2024-09-06,Canada,Canada,POTENTIAL FOR DEATH/INJURY,POTENTIEL DE MORT / DE BLESSURES,2024-08-15,30.0,2024-08-15
1113888,Mandatory problem report,Déclaration d'incident obligatoire,2024-09-09,Canada,Canada,INJURY,BLESSURE,2024-08-30,10.0,2024-08-30
1113919,Mandatory problem report linked to a recall,Déclaration d'incident obligatoire lié à un rappel,2024-09-09,Canada,Canada,POTENTIAL FOR DEATH/INJURY,POTENTIEL DE MORT / DE BLESSURES,2023-10-12,30.0,2023-10-12
1113931,Mandatory problem report linked to a recall,Déclaration d'incident obligatoire lié à un rappel,2024-09-09,Canada,Canada,POTENTIAL FOR DEATH/INJURY,POTENTIEL DE MORT / DE BLESSURES,2024-01-26,30.0,2024-01-26
1113942,Mandatory problem report,Déclaration d'incident obligatoire,2024-09-09,Canada,Canada,POTENTIAL FOR DEATH/INJURY,POTENTIEL DE MORT / DE BLESSURES,2024-03-22,30.0,2024-03-22
1113990,Mandatory problem report,Déclaration d'incident obligatoire,2024-09-09,Canada,Canada,INJURY,BLESSURE,2024-09-04,10.0,2024-08-30
1114001,Mandatory problem report,Déclaration d'incident obligatoire,2024-09-06,Canada,Canada,POTENTIAL FOR DEATH/INJURY,POTENTIEL DE MORT / DE BLESSURES,2024-04-04,30.0,2024-04-04
1114019,Mandatory problem report,Déclaration d'incident obligatoire,2024-09-09,Canada,Canada,POTENTIAL FOR DEATH/INJURY,POTENTIEL DE MORT / DE BLESSURES,2024-08-29,30.0,2024-08-27
1114025,Mandatory problem report,Déclaration d'incident obligatoire,2024-09-09,Canada,Canada,INJURY,BLESSURE,2024-09-04,10.0,2024-06-25
1114040,Mandatory problem report,Déclaration d'incident obligatoire,2024-09-09,Canada,Canada,INJURY,BLESSURE,2024-09-04,10.0,
1114048,Mandatory problem report,Déclaration d'incident obligatoire,2024-09-04,Canada,Canada,POTENTIAL FOR DEATH/INJURY,POTENTIEL DE MORT / DE BLESSURES,2024-08-09,30.0,2024-08-09
1114070,Voluntary problem report,Déclaration d'incident volontaire,2024-09-10,Canada,Canada,MINIMAL/NO ADVERSE HEALTH CONSEQUENCES,CONSEQUENCES MINIMALES / SANS EFFETS NEFASTES SUR LA SANTE,2024-09-08,,2024-09-08
1114136,Mandatory problem report,Déclaration d'incident obligatoire,2024-12-24,Canada,Canada,POTENTIAL FOR DEATH/INJURY,POTENTIEL DE MORT / DE BLESSURES,2024-02-07,30.0,2024-02-07
1114201,Mandatory problem report,Déclaration d'incident obligatoire,2024-09-10,Canada,Canada,INJURY,BLESSURE,2024-09-30,10.0,2024-08-29
1114205,Mandatory problem report,Déclaration d'incident obligatoire,2024-09-10,Canada,Canada,INJURY,BLESSURE,2024-09-04,10.0,2024-08-07
1114209,Mandatory problem report,Déclaration d'incident obligatoire,2024-09-10,Canada,Canada,INJURY,BLESSURE,2024-09-03,10.0,2024-08-30
1114216,Mandatory problem report,Déclaration d'incident obligatoire,2024-09-10,Canada,Canada,INJURY,BLESSURE,2024-09-06,10.0,2024-09-06
1114229,Mandatory problem report,Déclaration d'incident obligatoire,2024-09-10,Canada,Canada,POTENTIAL FOR DEATH/INJURY,POTENTIEL DE MORT / DE BLESSURES,2024-09-04,10.0,2024-09-03
1114242,Voluntary problem report,Déclaration d'incident volontaire,2024-09-11,Canada,Canada,MINIMAL/NO ADVERSE HEALTH CONSEQUENCES,CONSEQUENCES MINIMALES / SANS EFFETS NEFASTES SUR LA SANTE,2024-09-11,,2024-08-23
1114244,Mandatory problem report,Déclaration d'incident obligatoire,2024-09-10,Canada,Canada,POTENTIAL FOR DEATH/INJURY,POTENTIEL DE MORT / DE BLESSURES,2024-09-03,10.0,2024-08-20
1114247,Mandatory problem report,Déclaration d'incident obligatoire,2024-09-10,Canada,Canada,POTENTIAL FOR DEATH/INJURY,POTENTIEL DE MORT / DE BLESSURES,2024-09-03,10.0,2024-09-02
1114254,Mandatory problem report,Déclaration d'incident obligatoire,2024-09-10,Canada,Canada,POTENTIAL FOR DEATH/INJURY,POTENTIEL DE MORT / DE BLESSURES,2024-09-02,10.0,2024-08-31
1114257,Mandatory problem report,Déclaration d'incident obligatoire,2024-09-10,Canada,Canada,POTENTIAL FOR DEATH/INJURY,POTENTIEL DE MORT / DE BLESSURES,2024-09-05,10.0,2024-09-05
1114261,Mandatory problem report,Déclaration d'incident obligatoire,2024-09-10,Canada,Canada,INJURY,BLESSURE,2024-09-07,10.0,2024-09-06
1114286,Mandatory problem report,Déclaration d'incident obligatoire,2024-09-09,Canada,Canada,INJURY,BLESSURE,2024-09-03,10.0,
1114295,Mandatory problem report,Déclaration d'incident obligatoire,2024-09-09,Canada,Canada,INJURY,BLESSURE,2024-09-03,10.0,
1114302,Mandatory problem report,Déclaration d'incident obligatoire,2024-09-09,Canada,Canada,INJURY,BLESSURE,2024-08-30,10.0,2024-07-25
1114309,Mandatory problem report,Déclaration d'incident obligatoire,2024-09-09,Canada,Canada,INJURY,BLESSURE,2024-09-06,10.0,2024-07-22
1114316,Mandatory problem report,Déclaration d'incident obligatoire,2024-09-09,Canada,Canada,INJURY,BLESSURE,2024-08-30,10.0,2024-08-30
