Rank,Device_Name,Incident_Count,Percentage
73,BD ALARIS PCU,4,0.2
74,SMOOTH ROUND MODERATE PLUS PROFILE SALINE BREAST IMPLANT W/DIAPHRAGM VALVE,4,0.2
75,BD ECLIPSE NEEDLE,4,0.2
76,TEGO CATHETER CONNECTOR,4,0.2
77,HAMILTON-T1,4,0.2
78,VINYL EXAMINATION GLOVES STRETCH,4,0.2
79,THREE-SPRING 400CC EVACUATOR KITS W/PVC DRAIN Y-CONNECTOR & TROCAR,4,0.2
80,PREMICATH,4,0.2
81,"STOPCOCKS CLEAR, FOUR WAY STOPCOCK",4,0.2
82,FARADRIVE STEERABLE SHEATH,3,0.15
83,VERSACROSS CONNECT ACCESS SOLUTION FOR FARADRIVE,3,0.15
84,"MEDTRONIC MINIMED PARADIGM MEDICATION RESERVOIRS; MINIMED MIO ADVANCE, SC1; MINIMED 780G PUMP; GUARDIAN 4 SENSOR",3,0.15
85,CLEARLINK SYSTEM CONTINU-FLO SOLUTION SET,3,0.15
86,TECNIS EYHANCE TORIC II IOLS WITH TECNIS SIMPLICITY DELIVERY SYSTEM,3,0.15
87,UNKNOWN RENAL DISPOSABLE WITH CASSETTE BAXTER,3,0.15
88,UNKNOWN MENTOR GEL BREAST IMPLANT,3,0.15
89,CAPSUREFIX NOVUS STERIOD ELUTING VENTRICULAR/ATRIAL TRANSVENOUS LEAD,3,0.15
90,EDWARDS SAPIEN 3 TRANSCATHETER HEART VALVE,3,0.15
91,"OMNIPOD DASH, PDM, PERSONAL DIABETES MANAGER",3,0.15
92,ULTRAFLEX INTRA-AORTIC BALLOON,3,0.15
93,"MINIMED MIO ADVANCE, SC1",3,0.15
94,AVEIR LEADLESS PACEMAKER,3,0.15
95,AVEIR DELIVERY CATHETER,3,0.15
96,STYLE 115 SILICONE - FILLED BREAST IMPLANTS - BIOCELL ROUND,3,0.15
97,ACUITY X4 STRAIGHT,3,0.15
98,SILTEX TEXTURED ROUND MODERATE PROFILE SILICONE GEL FILLED BREAST IMPLANTS,3,0.15
99,INGENIO PACEMAKER,3,0.15
100,"MENTOR MEMORY GEL XTRA BREAST IMPLANT, SMOOTH HIGH PROFILE XTRA SILICONE GEL FILLED BREAST IMPLANT",3,0.15
101,INGEVITY MRI,3,0.15
102,"MENTOR MEMORY GEL XTRA BREAST IMPLANT, SMOOTH MODERATE PLUS PROFILE XTRA SILICONE GEL FILLED BREAST IMPLANT",3,0.15
103,EVO VISIAN ICL,3,0.15
104,SMOOTH ROUND MODERATE PROFILE SILICONE GEL FILLED BREAST IMPLANTS,3,0.15
105,ASTRA XT DR MRI SURESCAN,3,0.15
106,RESOLUTION 360 CLIP,3,0.15
107,BARD LUBRI-SIL FOLEY CATHETER,3,0.15
108,GIA AUTOSUTURE STAPLER WITH DST SERIES TECHNOLOGY SINGLE USE STAPLER WITH DST SERIES TECHNOLOGY,3,0.15
109,ALLIANCE INTEGRATED INFLATION SYSTEM,3,0.15
110,ARGYLE FEEDING TUBE RADIOPAQUE,3,0.15
111,"5008 CORDIAX - HEMODIALYSIS MACHINE, VERSION 5008 ONLINEPLUS",3,0.15
112,UNKNOWN FRESENIUS HEMODIALYSIS MACHINE,3,0.15
113,BD NEXIVA DIFFUSICS CLOSED IV CATHETER SYSTEM,3,0.15
114,SECONDARY SET,3,0.15
115,MAXZERO NEEDLELESS CONNECTOR,3,0.15
116,STRATASORB WATERPROOF ADHESIVE ISLAND WOUND DRESSINGS,3,0.15
117,AUTO SUTURE BLUNT TIP TROCAR,3,0.15
118,TRANSFER SET,3,0.15
119,"""INSYTE AUTOGUARD WINGED SHIELDED I.V. CATHETER""",3,0.15
120,"INFUSOMAT SPACE LINE, TYPE TRANSFUSION",3,0.15
121,KANGAROO CONNECT FEEDING SET ANTI-FREE FLOW,3,0.15
122,EVOLUT FX DELIVERY CATHETER SYSTEM,3,0.15
123,RELAYPRO THORACIC STENT GRAFT SYSTEM CUSTOM MADE,3,0.15
124,SAFESTEP HUBER NEEDLE SET,2,0.1
125,ENDOTAK RELIANCE SG,2,0.1
126,MONA LISA 5 MINI (NT CU380) INTRAUTERINE DEVICE,2,0.1
127,EEA AUTOSUTURE SINGLE USE CIRCULAR STAPLER WITH DST SERIES,2,0.1
128,GORE EXCLUDER AAA ENDOPROSTHESIS,2,0.1
129,NATRELLE INSPIRA SSF TRUFORM 2 (SOFT TOUCH),2,0.1
130,HEARTSTART INTREPID MONITOR/DEFIBRILLATOR,2,0.1
131,AMPLIA MRI QUAD CRT-D SURESCAN,2,0.1
132,PLUMEPEN ULTRA SURGICAL SMOKE EVACUATION PENCIL,2,0.1
133,MINIMED 770G,2,0.1
134,MOMENTUM CRT-D,2,0.1
135,ENDOTAK RELIANCE S LEAD,2,0.1
136,UNKNOWN MENTOR SALINE BREAST IMPLANTS,2,0.1
137,NAVITOR TRANSCATHETER HEART VALVE,2,0.1
138,EMPRINT PERCUTANEOUS ANTENNA WITH THERMOSPHERE TECHNOLOGY LARGE SPHERICAL ABLATION ZONE,2,0.1
139,GORE TAG CONFORMABLE THORACIC STENT GRAFT WITH ACTIVE CONTROL SYSTEM,2,0.1
140,TRUSTEEL,2,0.1
141,"MITRACLIP G4 CLIP DELIVERY SYSTEM, NTW",2,0.1
142,BLUE RHINO G2-MULTI PERCUTANEOUS TRACHEOSTOMY INTRODUCER SET,2,0.1
143,TECNIS 1-PIECE IOL WITH TECNIS SIMPLICITY DELIVERY SYSTEM,2,0.1
144,SILICONE ELASTOMER COATED FOLEY CATHETER STERILE 2 WAY WITH BALLOON,2,0.1
145,WATCHMAN FLX PRO LEFT ATRIAL APPENDAGE CLOSURE DEVICE WITH DELIVERY SYSTEM,2,0.1
146,"INFUSOR, LOW VOLUME",2,0.1
147,PERCLOSE PROSTYLE SUTURE-MEDIATED CLOSURE AND REPAIR SYSTEM,2,0.1
148,ONCONTROL BIOPSY SYSTEM - BONE ACCESS TRAY - COAXIAL NEEDLES,2,0.1
149,VIZISHOT 2 FLEX,2,0.1
150,HEALICOIL REGENESORB SUTURE ANCHOR WITH ONE ULTRATAPE AND ONE ULTRABRAID SUTURE,2,0.1
151,AUTOGEN ICD-MRI,2,0.1
152,BIO-MEDICUS FEMORAL CANNULAE,2,0.1
153,UNKNOWN INSULIN INFUSION PUMPS,2,0.1
154,HEARTMATE 3 SYSTEM CONTROLLER,2,0.1
155,CAPSUREFIX NOVUS MRI SURESCAN; ASTRA XT DR MRI SURESCAN,2,0.1
156,BD PRONTO QUICK RELEASE NEEDLE HOLDER,2,0.1
157,NAVITOR TITAN TRANSCATHETER HEART VALVE,2,0.1
158,ADVANCE SERENITY 18 HYDROPHILIC PTA BALLOON CATHETER,2,0.1
159,STYLE 410 SOFT TOUCH COHESIVE SILICONE-GEL FILLED BREAST IMPLANTS,2,0.1
160,INFINITY ADAPTIS TIBIAL TRAY,2,0.1
161,CAPSUREFIX NOVUS MRI SURESCAN,2,0.1
162,WHITACRE SPINAL ANESTHESIA NEEDLE,2,0.1
163,HI-TORQUE BALANCE MIDDLEWEIGHT UNIVERSAL II GUIDE WIRE WITH TURBOCOAT HYDROPHILIC COATING,2,0.1
164,UNKNOWN BAUSCH & LOMB LICENSE 101313 ENVISTA,2,0.1
165,UNKNOWN MEDTRONIC MINIMED INSULIN PUMP,2,0.1
166,VIVA QUAD S CRT-D,2,0.1
167,DISPOSABLE NASAL CANNULA,2,0.1
168,AMPLATZER AMULET LEFT ATRIAL APPENDAGE OCCLUDER,2,0.1
169,MINIMED 780G PUMP,2,0.1
170,RESOLUTION 360 ULTRA CLIP,2,0.1
171,PRISMAFLEX HAEMODIALYSIS SETS WITH FILTER; PRISMAFLEX WITH SOFTWARE 7.10,2,0.1
172,ARROW CRITICAL CARE POLY PERCUT SHEATH INTRO SETS FOR CENTRAL VENOUS ACCESS,2,0.1
173,UNKNOWN WRIGHT MEDICAL PROPHECY INVISION,2,0.1
174,SYNERGY MEGATRON MONORAIL EVEROLIMUS-ELUTING PLATINUM CHROMIUM CORONARY STENT SYSTEM,2,0.1
175,NATRELLE INSPIRA SSM TRUFORM 2 (SOFT TOUCH),2,0.1
176,LYKA PORT,2,0.1
177,UNKNOWN INDICATION/IDENTIFICATION LABELS,2,0.1
178,SPECTRA OPTIA APHERESIS SYSTEM - MAIN UNIT,2,0.1
179,"CPG 333 GEL BREAST IMPLANT COHESIVE III, TALL HEIGHT, HIGH PROFILE",2,0.1
180,INFINITY M540,2,0.1
181,UNKNOWN MEDTRONIC OXYGEN CONCENTRATOR,2,0.1
182,"REMSTAR AUTO WITH SD CARD, A-FLEX, CANADA",2,0.1
183,PURITAN BENNETT 980 SERIES VENTILATOR - VENTILATOR,2,0.1
184,"BRK(TM) TRANSSEPTAL NEEDLE, ADULT",2,0.1
185,LNCS OXIMETRY SENSOR,2,0.1
186,ARGYLE POLYURETHANE UMBILICAL VESSEL CATHETER SINGLE LUMEN,2,0.1
187,AVALON FETAL MONITOR FM30 - MAIN UNIT,2,0.1
188,UNKNOWN BAXTER TRANSFER SET,2,0.1
189,JACKSON SPINAL TABLE,2,0.1
190,ENTRAFLO NUTRITION DELIVERY SYSTEM GRAVITY FEEDING SET,2,0.1
191,"BIPAP A40 PRO, CA",2,0.1
192,CARESCAPE CENTRAL STATION,2,0.1
193,FLUOROSCAN INSIGHT FD MINI C-ARM IMAGING SYSTEM,2,0.1
194,NEEDLES WITH Y PORT,2,0.1
195,UNKNOWN FRESENIUS 5008 CORDIAX HEMODIALYSIS MACHINE,2,0.1
196,ID NOW COVID-19 2.0,2,0.1
197,ZOLL R SERIES DEFIBRILLATOR,2,0.1
198,ECHELON CONTOUR CURVED CUTTER,2,0.1
199,OSCILLATING BLADE (GENERIC),2,0.1
200,"BAG SPIKE, CLAVE",2,0.1
201,FABIAN HFO PREMATURE INFANT AND PAEDIATRIC VENTILATOR - VENTILATOR,2,0.1
202,BD PLASTIPAK SYRINGE LUER-LOK TIP,2,0.1
203,CENTRELLA MAX SURFACE,2,0.1
204,KANGAROO OMNI FEEDING SET,2,0.1
205,DREAMSTATION CPAP PRO,2,0.1
206,KNEE SCORPION NEEDLE,2,0.1
207,PICC CONVENIENCE KIT,2,0.1
208,LIGASURE RETRACTABLE L-HOOK LAPAROSCOPIC SEALER/DIVIDER,2,0.1
209,BARDEX SILICONE FOLEY CATHETER,2,0.1
210,BD VACUTAINER PUSH BUTTON BLOOD COLLECTION SET,2,0.1
211,COVIDIEN ABSORBATACK SINGLE USE ABS FIX DEVICE TACKS,2,0.1
212,TAPERGUARD EVAC ENDOTRACHEAL TUBE - CUFFED,2,0.1
213,POWERPICC SOLO2 CATHETER SHERLOCK STYLET AND MICROINTRODUCER,2,0.1
214,SENSICARE ICE POWDER-FREE NITRILE EXAMS GLOVES,2,0.1
215,MYOSURE TISSUE REMOVAL DEVICE,2,0.1
216,LEVEL 1 NORMOTHERMIC I.V. FLUID ADMINISTRATION SETS,2,0.1
217,SURGICAL PUNCH,2,0.1
218,"ENDOTRACHEAL TUBE MURPHY EYE, HIGH VOLUME, LOW PRESSURE CUFF",2,0.1
219,VIAFLEX CONTAINER 500ML 0.9% SODIUM CHLORIDE INJECTION USP,2,0.1
220,"NUTRILINE TWINFLO, CATHETER",2,0.1
221,ENDOPATH ECHELON ENDOSCOPIC LINEAR CUTTER RELOAD WITH GRIPPING SURFACE TECHNOLOGY; ECHELON 3000 STAPLER,2,0.1
222,DOUBLE LUMEN VASCU-PICC SET,2,0.1
223,POWERPICC CATHETER SHERLOCK STYLET AND MICROINTRODUCER,2,0.1
224,MEDPRO DISPOSABLE LATEX-FREE TOURNIQUETS,2,0.1
225,ETHICON SECURESTRAP ABSORBABLE STRAP FIXATION DEVICE,2,0.1
226,LINEAR CUTTER,2,0.1
227,CRANIOTOMY PACKS,2,0.1
228,SYNGUARD NITRILE EXAM GLOVES,2,0.1
229,ZOLL X SERIES MONITOR/DEFIBRILLATOR,2,0.1
230,UNKNOWN BIOSENSE SMART TOUCH BIDIRECTIONAL CATHETER,2,0.1
231,SMOOTH ROUND HIGH PROFILE SALINE-FILLED MAMMARY PROSTHESIS,2,0.1
232,STRATAFIX SYMMETRIC PDS PLUS KNOTLESS TISSUE CONTROL DEVICE ANTIBACTERIAL (POLYDIOXANONE),2,0.1
233,"GUIDEWIRE, TROCAR TIP W/LASER LINE, THREADED",1,0.05
234,INBONE TOTAL ANKLE SYSTEM - TALAR STEM,1,0.05
235,HOT AXIOS STENT AND ELECTROCAUTERY-ENHANCED DELIVERY SYSTEM,1,0.05
236,"ALLIANCE GLENOID, AUGMENT REAMER DRIVER",1,0.05
237,MINIMED 670G,1,0.05
238,SOLTIVE SUPERPULSED LASER BALL TIP FIBER SINGLE USE,1,0.05
239,MEDTRONIC MINIMED PARADIGM MEDICATION RESERVOIRS; MINIMED MIO 30; MINIMED 780G PUMP,1,0.05
240,"MINIMED PARADIGM MEDICATION RESERVOIRS; MINIMED MIO ADVANCE, SC1; GUARDIAN 4 SENSOR",1,0.05
241,HORIZON TITANIUM LIGATING CLIPS,1,0.05
242,INSPIRIS RESILIA AORTIC VALVE,1,0.05
243,TORNIER PERFORM HUMERAL SYSTEM HUMERAL STEM,1,0.05
244,EDWARDS SAPIEN 3 ULTRA TRANSCATHETER HEART VALVE,1,0.05
245,POWERPICC CATHETER STANDARD GUIDEWIRE IR BASIC KIT,1,0.05
246,TMZF PRESS FIT STEM - 132 (DEGREES),1,0.05
247,INSPIRE OXYGENATOR PERFUSION TUBING PACK PHISIO OR NON PHISIO COATED W/OXYGENATOR,1,0.05
248,SENSURA MIO CONCAVE CLICK OSTOMY BASEPLATE,1,0.05
249,FORCE BIPOLAR,1,0.05
250,CORNEAT KPRO IMPLANTATION KIT,1,0.05
251,CELLO BALLOON GUIDE CATHETER/INTRAVASCULAR CATHETER WITH CUFF; PHENOM 27 CATHETER,1,0.05
252,UNKNOWN BD INFUSION PUMP,1,0.05
253,UNKNOWN EZ SPRAY TOPICALIZATION DEVICE EZ-100,1,0.05
254,NEXGEN COMP KNEE SOL LEG KNEE-POST STAB PROLONG CROSSLINKED POLY LPS-FLEX,1,0.05
255,ADVANTIM FULLY POROUS COATED POSTERIOR STABILIZED FEMORAL IMPLANT,1,0.05
256,UNKNOWN UNOMEDICAL INSULIN PUMP,1,0.05
257,GORE VIABAHN VBX BALLOON EXPANDABLE ENDOPROSTHESIS,1,0.05
258,GORE EXCLUDER CONFORMABLE AAA ENDOPROSTHESIS - TRUNK-IPSILATERAL LEG,1,0.05
259,GORE VIABAHN ENDOPROSTHESIS WITH PROPATEN BIOACTIVE SURFACE,1,0.05
260,R3 ACETABULAR SYSTEM - CONSTRAINED ACETABULAR LINER,1,0.05
261,UNKNOWN BOSTON SCIENTIFIC LICENSE 7206 AMS 800 URINARY CONTROL SYSTEM,1,0.05
262,BAUSCH + LOMB INJECTOR SYSTEM IOL INJECTOR CARTRIDGE,1,0.05
263,ENVISTA HYDROPHOBIC ACRYLIC IOL-TORIC,1,0.05
264,UNKNOWN PATIENT LIFTING SYSTEMS,1,0.05
265,AMS SPHINCTER 800 URINARY PROSTHESIS CONTROL PUMP W/INHIBIZONE ANTIBIOTIC,1,0.05
266,AURORA EV-ICD MRI SURESCAN; EPSILA EV MRI SURESCAN LEAD,1,0.05
267,SPRINT QUATTRO SECURE S VENTRICULAR LEAD; CAPSUREFIX NOVUS STERIOD ELUTING VENTRICULAR/ATRIAL TRANSVENOUS LEAD; ATTAIN PERFORMA; AMPLIA MRI QUAD CRT-D SURESCAN,1,0.05
268,MITRIS RESILIA MITRAL VALVE,1,0.05
269,EYEFILL M.B.,1,0.05
270,ZIMMER PERIARTICULAR LOCKING PLATE SYSTEM - INSTRUMENTS,1,0.05
271,AMIA AUTOMATED PD SYSTEM - CYCLER,1,0.05
272,ACCU-CHEK SOFTCLIX LANCING DEVICE,1,0.05
273,SOLARA CRT-P MRI SURESCAN,1,0.05
274,VERSACROSS CONNECT ACCESS SOLUTION FOR POLARSHEATH,1,0.05
275,ELLIPS FX PHACO HANDPIECE,1,0.05
276,RXSIGHT LIGHT ADJUSTABLE LENS,1,0.05
277,CARBOMEDICS PROSTHETIC HEART VALVE STANDARD MITRAL,1,0.05
278,CARTO 3 EP NAVIGATION SYSTEM; UNKNOWN BIOSENSE SMART TOUCH BIDIRECTIONAL CATHETER,1,0.05
279,POLARX FIT SHORT TIP CRYOABLATION BALLOON CATHETER,1,0.05
280,NATRELLE INSPIRA SSX TRUFORM 2 (SOFT TOUCH),1,0.05
281,ZIMMER DERMATOME HANDPIECE,1,0.05
282,NEPTUNE E-SEP SMOKE EVACUATION PENCILS,1,0.05
283,"MEDTRONIC MINIMED PARADIGM MEDICATION RESERVOIRS; MINIMED MIO ADVANCE, SC1; MINIMED 780G PUMP",1,0.05
284,NEPTUNE SAFEAIR SMOKE EVACUATION PENCIL,1,0.05
285,UNKNOWN IMPLANT PARAGON SCREW-V 13MM LONG PSV13,1,0.05
286,TEOSYAL RHA 3,1,0.05
287,GORE EXCLUDER AAA ENDOPROSTHESIS - TRUNK IPSILATERAL,1,0.05
288,GORE EXCLUDER ILIAC BRANCH ENDOPROSTHESIS - INTERNAL ILIAC COMPONENT,1,0.05
289,GORE EXCLUDER AAA ENDOPROSTHESIS-CONTRALATERAL LEG,1,0.05
290,A.M.G.MODULE PMP NO T.P. CA,1,0.05
291,AZURE S DR MRI SURESCAN,1,0.05
292,TACTRA MALLEABLE PENILE PROSTHESIS,1,0.05
293,UNKNOWN KCI V.A.C. GRANUFOAM DRESSING,1,0.05
294,FLEXTEND BIPOLAR PACING LEAD - 52CM,1,0.05
295,SINGLE USE ASPIRATION NEEDLE - TRACHEOBRONCHIAL TREE AND ESOPHAGUS,1,0.05
296,CHEMSTRIP 10A,1,0.05
297,SMOOTH ROUND MODERATE CLASSIC PROFILE GEL-FILLED BREAST IMPLANT,1,0.05
298,TECNIS EYHANCE IOL,1,0.05
299,MONA LISA 5 (NT CU380) INTRAUTERINE DEVICE,1,0.05
300,SPRINT QUATTRO SECURE S VENTRICULAR LEAD; CAPSUREFIX MRI SURESCAN LEAD; CAPSURE SENSE MRI SURESCAN LEADS; AMPLIA MRI QUAD CRT-D SURESCAN,1,0.05
301,VANGUARD TOTAL KNEE SYSTEM - DCM - PS TIBIAL BEARINGS,1,0.05
302,CAPSUREFIX NOVUS STERIOD ELUTING VENTRICULAR/ATRIAL TRANSVENOUS LEAD; SENSIA SINGLE CHAMBER RATE RESPONSIVE PACEMAKER,1,0.05
303,VIVA QUAD XT CRT-D,1,0.05
304,ENVISTA ENVY TORIC HYDROPHOBIC ACRYLIC IOL (NON-PRELOADED),1,0.05
305,AFFINITY FUSION OXYGENATOR - OXYGENATOR WITH INTEGRATED ARTERIAL FILTER AND BALANCE BIOSURFACE,1,0.05
306,SPRINT FIDELIS STEROID ELUTING QUAD. VENT. LEAD W/RV/SVC DEFIB. COIL ELECTR; EVERA XT DR DIGITAL DUAL CHAMBER IMPLANTABLE CARDIOVERTER DEFIBRILLATOR,1,0.05
307,SILTEX TEXTURED ROUND HIGH PROFILE SILICONE GEL FILLED BREAST IMPLANTS,1,0.05
308,STYLE 410FX SILICONE FILLED BREAST IMPLANTS; NATRELLE 410FX TRUFORM SILICONE - FILLED BREAST IMPLANT,1,0.05
309,MEDTRONIC MINIMED PARADIGM MEDICATION RESERVOIRS; MINIMED 670G; MINIMED SILHOUETTE,1,0.05
310,SABER PTA DILATION CATHETER,1,0.05
311,T:SLIM X2 / BASAL-IQ (MMOL/L),1,0.05
312,TRILOGY ACETABULAR SYSTEM - BONE SCREWS,1,0.05
313,"ONE-LINK, NON-DEHP Y-TYPE STANDARD BORE CATHETER EXATENSION SET, NEEDLE-FREE IV CONNECTOR WITH NEUTRAL FLUID DISPLACEMENT",1,0.05
314,ICESEED 1.5 CRYOABLATION NEEDLE,1,0.05
315,DUCOR ANGIOGRAPHIC CATHETERS,1,0.05
316,QUICK CONNECT FLEXIBLE DRILL SHAFT,1,0.05
317,NATRELLE INSPIRA COHESIVE BREAST IMPLANT SMOOTH ROUND MODERATE PROFILE,1,0.05
318,"MITRACLIP G4 CLIP DELIVERY SYSTEM, XT; MITRACLIP G4 CLIP DELIVERY SYSTEM, XTW",1,0.05
319,CINGAL,1,0.05
320,CAPSURE SP STEROID ELUTING BIPOLAR ATRIAL TRANSVENOUS LEAD; CAPSURE SENSE MRI SURESCAN LEADS; AZURE S SR MRI SURESCAN,1,0.05
321,STYLE 110 SILICONE FILLED BREAST IMPLANTS - TEXTURED SHELL WITH LAYER,1,0.05
322,VALLEYLAB FT10 FT SERIES ENERGY PLATFORM,1,0.05
323,"TAPERED SCREW-VENT IMPLANT, WIDE, MTX 4.1-4.7MM D",1,0.05
324,GASTRIC SUCTION & FEEDING TUBE HOLDER,1,0.05
325,"TAPERED SCREW-VENT IMPLANT, MTX 3.7MM D; TAPERED SCREW-VENT IMPLANT, WIDE, MTX 4.1-4.7MM D",1,0.05
326,RELIANCE 4-FRONT,1,0.05
327,EVIS EUS ULTRASOUND BRONCHOFIBERVIDEOSCOPE,1,0.05
328,PERISTEEN PLUS TRANSANAL IRRIGATION SYSTEM,1,0.05
329,CAPSURE Z STEROID ELUTING BIPOLAR  VENTRICULAR TRANSVENOUS LEAD,1,0.05
330,"MEDTRONIC MINIMED PARADIGM MEDICATION RESERVOIRS; MINIMED MIO ADVANCE, SC1; GUARDIAN 4 SENSOR",1,0.05
331,"LGX PRECONNECT WITH MS PUMP, PENOSCROTAL INHIBIZONE COATED",1,0.05
332,ONE STEP CENTESIS CATHETER WITH INTRODUCER NEEDLE,1,0.05
333,MOMENTUM EL ICD,1,0.05
334,ENDOTAK RELIANCE G,1,0.05
335,UNKNOWN CYSTONEPHROSCOPES,1,0.05
336,SINGLE USE ELECTROSURGICAL SNARE SD-400,1,0.05
337,SINGLE USE ELECTROSURGICAL HEMOSTATIC FORCEPS,1,0.05
338,CARPENTIER-EDWARDS PHYSIO II RING,1,0.05
339,GORE TAG THORACIC BRANCH ENDOPROSTHESIS AORTIC COMPONENT; GORE TAG THORACIC BRANCH ENDOPROSTHESIS SIDE BRANCH COMPONENT,1,0.05
340,VENUE,1,0.05
